date,time,.00,TotalAcc,RInt
07/20/2023,01:35:32,0.00,0.00,12.01,0.00
07/20/2023,01:36:03,0.00,0.00,12.01,0.00
07/20/2023,01:36:03,0.00,0.00,12.01,0.00
07/20/2023,01:36:03,0.00,0.00,12.01,0.00
07/20/2023,01:37:03,0.00,0.00,12.01,0.00
07/20/2023,01:37:04,0.00,0.00,12.01,0.00
07/20/2023,01:37:04,0.00,0.00,12.01,0.00
07/20/2023,01:38:03,0.00,0.00,12.01,0.00
07/20/2023,01:38:03,0.00,0.00,12.01,0.00
07/20/2023,01:38:04,0.00,0.00,12.01,0.00
07/20/2023,01:40:03,0.00,0.00,12.01,0.00
07/20/2023,01:40:04,0.00,0.00,12.01,0.00
07/20/2023,01:40:04,0.00,0.00,12.01,0.00
07/20/2023,01:41:04,0.00
07/20/2023,01:41:04,0.00,0.00,12.01,0.00
07/20/2023,01:42:03,0.00,0.00,12.01,0.00
07/20/2023,01:42:04,0.00,0.00,12.01,0.00
07/20/2023,01:43:03,0.00,0.00,12.01,0.00
07/20/2023,01:43:03,0.00,0.00,12.01,0.00
07/20/2023,01:43:04,0.00,0.00,12.01,0.00
07/20/2023,01:44:03,0.00,0.00,12.01,0.00
07/20/2023,01:44:03,0.00,0.00,12.01,0.00
07/20/2023,01:44:04,0.00,0.00,12.01,0.00
07/20/2023,01:45:03,0.00,0.00,12.01,0.00
07/20/2023,01:45:04,0.00,0.00,12.01,0.00
07/20/2023,01:46:04,0.00,0.00,12.01,0.00
07/20/2023,01:46:04,0.00,0.00,12.01,0.00
07/20/2023,01:46:33,0.00,0.00,12.01,0.00
07/20/2023,01:47:03,0.00,0.00,12.01,0.00
07/20/2023,01:47:04,0.00,0.00,12.01,0.00
07/20/2023,01:48:04,0.00,0.00,12.01,0.00
07/20/2023,01:48:04,0.00,0.00,12.01,0.00
07/20/2023,01:48:33,0.00,0.00,12.01,0.00
07/20/2023,01:49:04,0.00,0.00,12.01,0.00
07/20/2023,01:49:04,0.00,0.00,12.01,0.00
07/20/2023,01:49:32,0.00,0.00,12.01,0.00
07/20/2023,01:50:04,0.00,0.00,12.01,0.00
07/20/2023,01:50:33,0.00,0.00,12.01,0.00
07/20/2023,01:51:33,0.00,0.00,12.01,0.00
07/20/2023,01:52:03,0.00,0.00,12.01,0.00
07/20/2023,01:52:04,0.00,0.00,12.01,0.00
07/20/2023,01:52:04,0.00,12.01,0.00
07/20/2023,01:53:03,0.00,0.00,12.01,0.00
07/20/2023,01:54:03,0.00,0.00,12.01,0.00
07/20/2023,01:54:03,0.00,0.00,12.01,0.00
07/20/2023,01:54:04,0.00,0.00,12.01,0.00
07/20/2023,01:55:03,0.00,0.00,12.01,0.00
07/20/2023,01:55:03,0.00,0.00,12.01,0.00
07/20/2023,01:56:04,0.00,0.00,12.01,0.00
07/20/2023,01:57:03,0.00,0.00,12.01,0.00
07/20/2023,01:57:04,0.00,0.00,12.01,0.00
07/20/2023,01:57:04,0.00,0.00,12.01,0.00
07/20/2023,01:58:04,0.00,0.00,12.01,0.00
07/20/2023,01:58:04,0.00,0.00,12.01,0.00
07/20/2023,02:01:33,0.00,0.00,12.01,0.00
07/20/2023,02:02:03,0.00,0.00,12.01,0.00
07/20/2023,02:02:04,0.00,0.00,12.01,0.00
07/20/2023,02:03:03,0.00,0.00,12.01,0.00
07/20/2023,02:03:04,0.00,0.00,12.01,0.00
07/20/2023,02:03:04,0.00,0.00,12.01,0.00
07/20/2023,02:04:04,0.00,12.01,0.00
07/20/2023,02:04:04,0.00,0.00,12.01,0.00
07/20/2023,02:05:03,0.00,0.00,12.01,0.00
07/20/2023,02:05:04,0.00,0.00,12.01,0.00
07/20/2023,02:05:04,0.00,0.00,12.01,0.00
07/20/2023,02:06:03,0.00,0.00,12.01,0.00
07/20/2023,02:06:04,0.00,0.00,12.01,0.00
07/20/2023,02:06:04,0.00,0.00,12.01,0.00
07/20/2023,02:07:03,0.00,0.00,12.01,0.00
07/20/2023,02:07:04,0.00,0.00,12.01,0.00
07/20/2023,02:08:04,0.00,0.00,mm,0.00
07/20/2023,02:08:04,0.00,0.00,12.01,0.00
07/20/2023,02:09:04,0.00,0.00,12.01,0.00
07/20/2023,02:09:04,0.00,0.00,12.01,0.00
07/20/2023,02:09:04,0.00,0.00,12.01,0.00
07/20/2023,02:10:04,0.00,0.00,12.01,0.00
07/20/2023,02:10:04,0.00,0.00,12.01,0.00
07/20/2023,02:11:03,0.00,0.00,12.01,0.00
07/20/2023,02:11:04,0.00,0.00,12.01,0.00
07/20/2023,02:12:03,0.00,0.00,12.01,0.00
07/20/2023,02:12:03,0.00,0.00,12.01,0.00
07/20/2023,02:12:03,0.00,0.00,12.01,0.00
07/20/2023,02:12:04,0.00,0.00,12.01,0.00
07/20/2023,02:13:04,0.00,0.00,12.01,0.00
07/20/2023,02:13:04,0.00,0.00,12.01,0.00
07/20/2023,02:14:03,0.00,0.00,12.01,0.00
07/20/2023,02:14:04,0.00,0.00,12.01,0.00
07/20/2023,02:14:33,0.00,0.00,12.01,0.00
07/20/2023,02:16:03,0.00,0.00,12.01,0.00
07/20/2023,02:16:03,0.00,0.00,12.01,0.00
07/20/2023,02:16:04,0.00,0.00,12.01,0.00
07/20/2023,02:18:03,0.00,0.00,12.01,0.00
07/20/2023,02:18:03,0.00,0.00,12.01,0.00
07/20/2023,02:19:03,0.00,0.00,12.01,0.00
07/20/2023,02:19:04,0.00,0.00,12.01,0.00
07/20/2023,02:20:04,0.00,0.00,12.01,0.00
07/20/2023,02:20:04,0.00,0.00,12.01,0.00
07/20/2023,02:21:03,0.00,0.00,12.01,0.00
07/20/2023,02:21:04,0.00,0.00,12.01,0.00
07/20/2023,02:21:32,0.00,0.00,12.01,0.00
07/20/2023,02:22:04,0.00,0.00,12.01,0.00
07/20/2023,02:22:04,0.00,0.00,12.01,0.00
07/20/2023,02:22:33,0.00,0.00,12.01,0.00
07/20/2023,02:23:04,0.00,0.00,12.01,0.00
07/20/2023,02:23:04,0.00,0.00,12.01,0.00
07/20/2023,02:24:03,0.00,0.00,12.01,0.00
07/20/2023,02:24:04,0.00,0.00,12.01,0.00
07/20/2023,02:24:04,0.00,0.00,12.01,0.00
07/20/2023,02:25:03,0.00,0.00,12.01,0.00
07/20/2023,02:25:03,0.00,0.00,12.01,0.00
07/20/2023,02:25:03,0.00,0.00,12.01,0.00
07/20/2023,02:26:03,0.00,0.00,12.01,0.00
07/20/2023,02:27:04,12.01,0.00
07/20/2023,02:27:04,0.00,0.00,12.01,0.00
07/20/2023,02:28:03,0.00
07/20/2023,02:28:04,0.00,0.00,12.01,0.00
07/20/2023,02:29:04,0.00,0.00,12.01,0.00
07/20/2023,02:29:04,0.00,0.00,12.01,0.00
07/20/2023,02:30:02,0.00,0.00,12.01,0.00
07/20/2023,02:30:02,0.00,0.00,12.01,0.00
07/20/2023,02:31:03,0.00,0.00,12.01,0.00
07/20/2023,02:31:03,0.00,0.00,12.01,0.00
07/20/2023,02:31:04,0.00,0.00,12.01,0.00
07/20/2023,02:32:04,0.00,0.00,12.01,0.00
07/20/2023,02:33:32,0.00,0.00,12.01,0.00
07/20/2023,02:34:04,0.00,0.00,12.01,0.00
07/20/2023,02:34:04,0.00,0.00,12.01,0.00
07/20/2023,02:34:04,0.00,0.00,12.01,0.00
07/20/2023,02:35:03,0.00,0.00,12.01,0.00
07/20/2023,02:35:04,0.00,0.00,12.01,0.00
07/20/2023,02:35:33,0.00,0.00,12.01,0.00
07/20/2023,02:36:33,0.00,0.00,12.01,0.00
07/20/2023,02:37:03,0.00,0.00,12.01,0.00
07/20/2023,02:37:04,0.00,0.00,12.01,0.00
07/20/2023,02:38:03,0.00,0.00,12.01,0.00
07/20/2023,02:38:03,0.00,0.00,12.01,0.00
07/20/2023,02:39:04,0.00,0.00,12.01,0.00
07/20/2023,02:39:04,0.00,0.00,12.01,0.00
07/20/2023,02:39:04,0.00,0.00,12.01,0.00
07/20/2023,02:40:03,0.00,0.00,12.01,0.00
07/20/2023,02:40:04,0.00,0.00,12.01,0.00
07/20/2023,02:40:04,0.00,0.00,12.01,0.00
07/20/2023,02:41:03,0.00,0.00,12.01,0.00
07/20/2023,02:41:04,0.00,0.00,12.01,0.00
07/20/2023,02:42:04,0.00,0.00,12.01,0.00
07/20/2023,02:42:04,0.00,0.00,12.01,0.00
07/20/2023,02:43:03,0.00,0.00,12.01,0.00
07/20/2023,02:43:03,0.00,0.00,12.01,0.00
07/20/2023,02:44:04,0.00,0.00,12.01,0.00
07/20/2023,02:45:33,0.00,0.00,12.01,0.00
07/20/2023,02:49:03,0.00,0.00,12.01,0.00
07/20/2023,02:50:04,0.00,0.00,12.01,0.00
07/20/2023,02:51:03,0.00,0.00,12.01,0.00
07/20/2023,02:51:04,0.00,0.00,12.01,0.00
